mean_x;mean_y;mean_z;var_x;var_y;var_z;peak_to_peak_x;peak_to_peak_y;peak_to_peak_z;zero_crossings_x;zero_crossings_y;zero_crossings_z;Activity
-346.73;59.93;942.63;1715.46;3330.33;5338.77;174;251;259;0;11;0;Driving
-340.5;34.27;939.67;486.78;2055.93;1749.29;78;173;189;0;14;0;Driving
-346.73;39.43;921.83;616.66;2029.91;1730.21;93;179;185;0;9;0;Driving
-361.23;52.93;933.73;1284.78;3924.2;4552.0;135;227;214;0;14;0;Driving
-408.03;44.2;925.2;996.9;2279.03;3779.89;118;200;240;0;8;0;Driving
-372.9;42.03;918.47;512.82;1259.63;1300.05;90;156;184;0;8;0;Driving
-408.27;22.83;908.57;467.2;1024.87;1541.78;102;107;154;0;11;0;Driving
-418.93;-1.57;912.8;840.53;2086.71;1937.56;123;199;185;0;15;0;Driving
-364.87;44.03;934.57;570.12;2862.43;1977.51;76;223;210;0;6;0;Driving
-369.27;14.3;932.47;826.4;1130.88;2129.52;122;129;213;0;14;0;Driving
-343.5;-1.77;919.17;928.92;1071.58;3444.94;162;137;261;0;14;0;Driving
-347.57;23.8;951.4;2661.51;7384.36;3393.77;304;479;233;0;14;0;Driving
-366.97;39.7;926.93;463.37;3050.61;2435.26;75;211;233;0;15;0;Driving
-380.5;42.83;930.0;796.98;2176.41;993.0;124;186;138;0;8;0;Driving
-378.2;33.6;926.07;726.69;1545.17;2417.86;127;149;217;0;12;0;Driving
-385.2;53.27;913.03;1198.63;1386.26;4792.57;181;172;304;0;4;0;Driving
-350.6;43.87;933.4;679.11;2974.12;1784.31;114;218;187;0;14;0;Driving
-368.73;61.57;922.87;287.06;1297.45;1275.32;80;161;140;0;2;0;Driving
-381.3;29.57;916.83;1204.08;2115.65;3971.67;131;188;230;0;14;0;Driving
-378.2;32.87;929.0;528.69;2697.05;2208.6;83;229;183;0;14;0;Driving
-354.97;21.3;934.1;957.37;2398.74;4443.89;107;240;252;0;11;0;Driving
-364.33;18.43;936.07;285.02;1032.91;1224.66;78;136;129;0;17;0;Driving
-359.53;12.73;935.93;416.38;1104.0;1164.86;96;167;168;0;18;0;Driving
-362.47;27.83;914.37;381.65;2847.94;2909.7;98;221;224;0;11;0;Driving
-368.9;28.27;932.57;518.22;1662.86;1973.85;81;155;214;0;8;0;Driving
-384.47;45.43;927.93;661.58;999.85;1744.73;102;143;169;0;3;0;Driving
-378.43;10.93;929.67;764.38;1684.66;1772.56;124;181;154;0;14;0;Driving
-396.47;32.53;925.83;730.38;1952.18;2396.34;136;182;202;0;10;0;Driving
-399.2;9.37;912.6;800.16;2175.43;4197.84;155;201;374;0;16;0;Driving
-373.1;32.37;933.93;768.29;2975.57;3220.2;117;219;264;0;10;0;Driving
-373.4;18.0;932.97;650.31;1819.73;1625.97;101;168;180;0;16;0;Driving
-413.6;32.63;923.83;519.17;1692.7;970.14;91;191;124;0;11;0;Driving
-369.43;52.7;937.03;633.58;3077.61;2109.83;92;188;167;0;9;0;Driving
-352.63;43.37;931.97;561.3;1390.43;962.37;105;157;134;0;6;0;Driving
-356.1;38.43;931.73;1796.69;1417.65;7801.93;172;149;418;0;7;0;Driving
-366.53;33.7;938.97;400.18;1336.08;726.3;76;174;137;0;8;0;Driving
-351.8;47.53;934.53;414.89;1041.98;1372.32;81;145;138;0;6;0;Driving
-348.8;47.47;919.13;331.69;3221.18;2018.65;75;229;195;0;5;0;Driving
-389.6;16.37;920.3;594.71;927.77;1361.14;98;131;144;0;17;0;Driving
-406.37;24.07;914.87;568.03;740.53;2536.32;83;134;210;0;8;0;Driving
-372.6;22.77;933.67;1068.97;955.31;1087.69;134;107;145;0;6;0;Driving
-353.17;25.0;928.97;335.21;1730.4;994.7;71;221;110;0;4;0;Driving
-367.97;9.57;932.37;366.17;1530.45;687.43;77;155;101;0;9;0;Driving
-365.43;53.3;927.7;514.98;1428.01;1102.88;88;172;173;0;2;0;Driving
-381.17;37.17;920.1;530.61;2489.87;1101.82;84;202;176;0;7;0;Driving
-383.53;23.63;924.53;517.38;1586.23;613.98;91;172;92;0;16;0;Driving
-378.97;38.5;925.6;306.77;1568.25;1286.37;85;140;148;0;7;0;Driving
-372.87;50.0;919.23;664.72;2099.4;1242.91;125;195;150;0;9;0;Driving
-366.17;13.83;936.1;557.21;1216.27;1730.36;92;129;183;0;18;0;Driving
-366.27;46.0;936.1;370.53;1325.8;1159.96;71;134;152;0;5;0;Driving
-370.07;26.17;928.4;249.4;951.07;876.51;68;138;91;0;13;0;Driving
-377.03;37.1;922.43;395.77;936.36;1175.85;79;149;150;0;6;0;Driving
-364.07;31.27;929.57;557.73;1892.86;1182.25;104;190;156;0;10;0;Driving
-346.8;24.8;947.83;493.56;2368.23;1191.87;89;183;165;0;14;0;Driving
-360.23;32.73;926.63;728.91;1717.73;1336.03;114;214;157;0;7;0;Driving
-401.63;27.2;915.03;479.9;2527.16;1057.97;82;249;164;0;14;0;Driving
-414.2;11.77;916.97;732.63;2554.45;1770.63;127;195;181;0;14;0;Driving
-399.47;39.33;920.17;1373.78;2975.62;2474.14;141;209;206;0;10;0;Driving
-354.5;40.57;931.03;513.05;1993.05;3771.5;93;181;240;0;10;0;Driving
-365.33;69.73;916.6;538.96;3773.93;1899.04;111;308;178;0;6;0;Driving
-394.9;45.6;911.53;808.82;1245.11;1630.72;110;149;143;0;4;0;Driving
-397.0;-14.13;931.4;809.07;3274.92;1573.24;108;199;146;0;12;0;Driving
-386.83;26.5;921.0;641.74;1915.78;1622.53;126;202;184;0;10;0;Driving
-381.0;19.97;927.93;794.07;3678.7;3588.93;125;246;269;0;9;0;Driving
-381.17;29.5;917.87;572.74;1589.18;1743.45;93;158;174;0;12;0;Driving
-397.1;11.7;939.37;797.69;2214.41;1808.5;122;197;175;0;14;0;Driving
-399.47;-6.97;913.23;689.25;3111.77;1910.51;116;274;205;0;16;0;Driving
-397.07;14.5;909.6;361.0;3189.25;1347.44;78;222;133;0;15;0;Driving
-391.53;18.27;922.5;960.52;2434.8;2994.85;117;163;269;0;7;0;Driving
-386.8;-7.77;915.73;481.56;2112.98;1649.93;88;174;145;0;10;0;Driving
-391.23;-4.0;914.2;561.18;2267.27;1314.76;93;232;143;0;11;0;Driving
-384.97;-44.2;925.47;726.37;1848.69;1989.52;89;175;163;0;7;0;Driving
-392.1;-62.27;936.57;213.82;1659.0;1418.65;56;169;131;0;0;0;Driving
-406.33;-44.83;915.57;341.76;1809.34;722.91;72;194;109;0;10;0;Driving
-453.27;-15.23;899.43;2516.86;3602.38;1126.05;180;213;165;0;15;0;Driving
-487.5;-41.33;882.8;1717.05;4454.56;1676.89;151;315;154;0;6;0;Driving
-397.6;-181.3;922.97;16022.77;19659.34;28419.7;576;595;801;0;4;0;Driving
-313.17;-127.53;953.83;2583.34;2133.38;3046.07;258;179;257;0;0;0;Driving
-399.07;1.9;923.63;2757.13;8896.02;2291.37;217;346;201;0;9;0;Driving
-448.03;304.07;876.23;701.63;4998.2;1151.65;108;304;171;0;0;0;Driving
-479.13;355.07;857.87;287.12;886.4;733.78;88;133;116;0;0;0;Driving
-477.63;408.17;861.33;1214.03;3072.01;1800.42;139;216;147;0;0;0;Driving
-374.33;400.17;888.93;2270.62;7135.87;633.46;179;371;94;0;0;0;Driving
-278.37;33.83;959.03;2104.37;29453.61;2156.97;200;644;208;0;1;0;Driving
-164.33;-189.8;1007.33;3671.22;3007.63;4203.02;207;222;231;0;0;0;Driving
-183.4;-56.13;985.9;1906.97;4338.18;3148.76;229;294;274;0;9;0;Driving
-289.2;20.17;988.6;5592.56;3311.27;8820.04;266;219;456;0;11;0;Driving
-268.17;34.0;960.43;1014.54;1322.8;1396.85;118;128;152;0;5;0;Driving
-286.73;71.5;965.27;858.2;4793.18;1380.86;137;276;165;0;4;0;Driving
-263.63;27.8;969.13;1352.1;5141.83;4045.92;147;343;266;0;9;0;Driving
-339.97;46.27;937.17;3421.57;3714.53;1812.87;204;252;148;0;5;0;Driving
-306.5;41.13;944.63;2692.65;4534.38;5365.1;196;253;332;0;16;0;Driving
-308.33;43.83;954.93;1418.16;2071.21;2668.4;152;198;232;0;8;0;Driving
-329.6;-32.43;938.8;3662.97;4355.91;3997.23;217;309;234;0;12;0;Driving
-294.1;-13.67;972.57;4832.49;5528.69;8075.25;243;262;354;0;9;0;Driving
-311.13;19.5;954.03;2355.92;4993.32;2848.17;251;273;232;0;10;0;Driving
-367.57;49.1;929.93;1062.91;5826.42;2301.26;151;266;253;0;8;0;Driving
-372.63;39.3;920.83;1032.03;6505.74;1410.94;170;261;156;0;9;0;Driving
-384.4;41.53;932.8;1787.51;5716.52;5000.09;163;293;270;0;10;0;Driving
-362.63;25.33;932.57;1077.97;8440.09;7200.11;115;354;360;0;11;0;Driving
-369.53;25.5;936.07;1409.25;7815.52;4847.06;133;342;324;0;11;0;Driving
-358.3;7.7;919.53;1244.81;4945.94;4299.25;160;220;269;0;12;0;Driving
-362.53;24.23;932.33;1006.72;5181.51;5237.89;124;279;252;0;9;0;Driving
-336.43;28.73;931.1;1239.78;5682.4;2543.69;117;319;201;0;13;0;Driving
-336.27;-12.13;967.37;2639.33;5657.85;12012.5;264;350;353;0;9;0;Driving
