X (mg);Y (mg);Z (mg)
1630;914;-194
1991;-2;396
2745;38;2005
951;-313;-245
242;642;-322
-169;70;-150
-40;-33;-230
-227;-66;-367
710;-422;-802
3480;754;51
2144;852;450
2143;-176;540
126;939;601
-191;122;-139
144;-296;-401
183;355;-62
-528;725;-207
972;588;-677
2475;966;-106
1474;219;109
3190;-45;978
1696;-184;1337
334;384;-688
-129;438;-190
-168;74;-105
-196;-87;-368
-4;-356;-275
2076;110;-1088
3150;1212;541
1948;326;702
861;228;550
168;604;175
-246;-207;-635
150;-14;107
-258;712;-250
347;386;-483
2417;894;120
1593;758;-58
2147;135;677
2519;46;1576
698;-294;-454
75;634;-280
-206;103;-180
-117;1;-284
-51;-202;-736
1846;57;-348
3232;1042;538
2214;261;736
1124;210;417
268;783;421
-215;-222;-583
82;-132;34
44;696;-161
-40;320;-293
2263;997;-200
1756;1053;-139
1618;26;253
2770;326;2007
1207;-357;-172
200;534;-501
-218;182;-161
-117;-12;-76
-210;-244;-382
533;-310;-920
3337;975;8
1840;843;546
2178;100;710
546;746;579
-21;61;-15
-98;-241;-468
155;274;9
-442;663;-167
1595;628;-329
1719;1022;-332
1416;463;73
2816;390;1090
1996;-289;1087
489;72;-458
139;465;-246
-168;103;-163
-111;133;-206
-156;-200;-530
1752;-71;-743
3205;978;562
1924;528;618
1243;294;324
294;663;570
-33;-206;-407
106;-283;-40
-80;605;-117
-58;829;-366
2075;842;-107
1496;789;-347
1805;15;346
2975;315;1132
1277;-448;726
368;424;-531
-133;327;-174
-183;141;-202
-85;23;-377
208;-261;-647
2445;380;-252
2764;924;791
2225;169;823
706;708;595
285;354;275
-155;-358;-576
238;-21;6
-322;674;-107
-117;416;-518
2667;876;-63
1536;823;-65
2091;241;629
2456;124;1401
729;-141;11
215;603;-453
-186;192;-97
-96;-16;-172
-170;-210;-508
1251;-226;-718
3313;1101;334
2015;648;497
1917;0;479
318;954;712
61;-35;-228
-92;-619;-389
2;616;31
-299;722;-237
1318;531;-291
2111;1039;-212
1459;487;18
2665;343;750
1844;-30;1399
455;118;-588
147;473;-27
-193;27;-202
-29;-59;-340
-41;-275;-451
1883;286;-786
3168;1246;627
1820;219;814
1398;89;347
185;942;543
110;-227;-352
-154;-244;-76
-141;648;-206
-154;530;-212
2156;599;-361
1725;828;-295
1668;338;162
2918;542;1009
1271;-123;997
352;211;-616
-50;305;-111
-209;140;15
-163;-69;-285
169;-277;-713
2484;538;-671
2771;1370;732
2106;30;641
1055;207;301
209;581;515
-98;-110;-406
-60;23;-69
-267;562;-226
577;393;-273
2047;692;-72
1389;933;-137
1840;422;252
2794;516;1369
1072;-478;298
325;505;-322
-175;344;-75
-143;89;-191
-72;-179;-283
383;-118;-545
3083;754;-293
2222;1164;460
2000;-208;638
880;526;326
149;534;407
48;-362;-432
-205;141;-10
-157;682;-160
403;408;-398
2445;851;-94
1231;869;-378
1906;352;457
2871;583;1461
1118;-451;153
206;316;-382
-62;198;-42
-95;15;-100
-205;-75;-336
378;-151;-817
3004;765;-138
2153;883;151
2396;81;399
840;781;355
195;619;659
2;-266;-308
68;-318;-197
-242;606;-131
1105;722;-86
1158;591;-674
1052;792;-391
2384;674;567
2614;463;895
1075;-390;569
439;558;-305
-61;405;-204
-241;221;-93
-97;-142;-176
244;-328;-756
2134;315;-376
2716;1190;507
1851;262;859
1336;514;555
176;587;537
33;-248;-637
33;-150;77
-256;659;-89
-57;400;-428
2311;710;-45
1191;1204;-256
1903;414;472
2638;138;1160
1400;-376;777
504;559;-196
13;295;-360
-167;109;-241
107;2;-744
1081;300;-289
3300;1042;279
2208;-101;505
1291;526;655
324;1092;779
-278;-91;-323
229;-300;-214
245;405;-20
-455;823;-176
1783;1405;-595
2045;885;-564
1909;-376;167
2879;230;1190
1076;90;941
261;679;-698
-50;91;-35
-78;-155;-163
-129;5;-396
587;-71;-895
2807;983;-101
2456;758;718
2209;-63;436
328;943;785
-9;128;-3
-148;-186;-504
266;143;58
-388;525;-45
122;475;-554
2350;922;-386
1692;336;-56
2913;292;810
1697;-51;1717
533;209;-807
-81;424;-160
-114;159;-146
-165;-77;-219
27;-231;-568
2774;240;-885
